21
1431185706701868962383741 7 1124455427477633024550691
4362139336229068656094783 6 2252039783559526803147320
9680647790568589086355559 11 7986241363818112335278042
9768997162071483134919121 47 5415008467799804822266051
9842332430037465033595921 31 3424301093122565851819021
11053036065049294753459639 13 3040272772025942191972052
11735415506748076408140121 34 2400859149607944662480159
17499733663152976533452519 14 17457915787944590388598824
140194179307171898833699259 2 93960067815121156736886842
207617485544258392970753527 5 57775445007439445581653200
291280009243618888211558641 17 255176781998542649286730090
618970019642690137449562111 3 220700933213037677598579797
7248808599285760001152755641 6 554955633667768166591025228
8170509011431363408568150369 6 2199212129893442135171883787
9080418348371887359375390001 23 5941956790203212813485611663
15572244900182528777225808449 6 5365505005548273256247070568
18806327041824690595747113889 31 7169325088861135576887961745
172974812463239310024750410929 21 73203485263125992633206380207
227376585863531112677002031251 2 37462433310932014550153885787
2598696228942460402343442913969 51 1042754858597769009521920477731
2643999917660728787808396988849 17 2050537351972894204218764176456
